city;x;y
Абакан;53.729172;91.461189
Альметьевск;54.893219;52.34623
Ангарск;52.541672;103.919548
Арзамас;55.40321;43.83614
Армавир;44.996361;41.120628
Артём;43.355728;132.186676
Архангельск;64.536926;40.565571
Астрахань;46.354889;48.052719
Ачинск;56.28236;90.517052
Балаково;52.021069;47.805759
Балашиха;55.820381;37.96891
Барнаул;53.356339;83.76165
Батайск;47.138779;39.754719
Белгород;50.596611;36.609211
Бердск;54.76355;83.103447
Березники;59.40147;56.79948
Березовский;55.572479;86.192734
Бийск;52.541302;85.217003
Благовещенск;50.27494;127.534142
Братск;56.169659;101.591637
Брянск;53.310661;34.300369
Великий Новгород;58.544971;31.269119
Владивосток;43.130692;131.923828
Владикавказ;43.031231;44.67577
Владимир;56.127701;40.407558
Волгоград;48.718079;44.504639
Волгодонск;47.519039;42.141178
Волжский;48.79509;44.80069
Вологда;59.21524;39.876709
Воронеж;51.660019;39.197411
Грозный;43.309841;45.670391
Дербент;42.057831;48.30048
Дзержинск;56.23542;43.445271
Димитровград;54.22364;49.615059
Долгопрудный;55.929729;37.52457
Домодедово;55.45541;37.75779
Екатеринбург;56.837814;60.596844
Ессентуки;44.049809;42.857239
Железногорск;56.25;93.533333
Жуковский;55.59325;38.11961
Златоуст;55.186119;59.646099
Иваново;56.992409;40.967789
Ижевск;56.842609;53.224449
Иркутск;52.275261;104.30864
Йошкар-Ола;56.637501;47.891499
Казань;55.796539;49.1082
Калининград;54.711594;20.509972
Калуга;54.514679;36.27142
Каменск-Уральский;56.426479;61.908489
Камышин;50.082581;45.392681
Каспийск;42.882751;47.638248
Кемерово;55.371239;86.052437
Киров;58.596081;49.662659
Кировск;59.87315;30.99581
Кисловодск;43.923;42.7244
Ковров;56.386719;41.310871
Коломна;55.094559;38.775768
Комсомольск-на-Амуре;50.538212;137.016907
Копейск;55.118832;61.623619
Королёв;55.944397;37.864746
Кострома;57.780739;40.936691
Красногорск;55.82074;37.34597
Краснодар;45.042149;38.98064
Красноярск;56.001251;92.88559
Курган;55.45369;65.342323
Курск;51.740261;36.184879
Кызыл;51.721909;94.417397
Липецк;52.605949;39.587681
Люберцы;55.683949;37.881088
Магнитогорск;53.45932;59.082581
Майкоп;44.609138;40.113209
Махачкала;42.972759;47.493599
Миасс;55.032791;60.121868
Мирный;62.75893;40.339409
Михайловка;50.06472;43.257641
Москва;55.755787;37.617634
Мурманск;68.953178;33.107052
Муром;55.574291;42.05151
Мытищи;55.918911;37.758419
Набережные Челны;55.73;52.43322
Назрань;43.216667;44.766666
Нальчик;43.48695;43.602989
Находка;42.781738;132.8591
Невинномысск;44.633308;41.93364
Нефтекамск;56.091728;54.261662
Нефтеюганск;61.102322;72.60405
Нижневартовск;60.948009;76.555847
Нижнекамск;55.629379;51.81094
Нижний Новгород;56.329918;44.009193
Нижний Тагил;57.9366;59.977249
Новокузнецк;53.740749;87.113487
Новомосковск;54.079639;38.229549
Новороссийск;44.752861;37.768311
Новосибирск;55.03923;82.927818
Новочебоксарск;56.099987;47.496471
Новочеркасск;47.421982;40.091991
Новошахтинск;47.75872;39.933609
Новый Уренгой;66.094162;76.702522
Ногинск;55.855888;38.451519
Норильск;69.330406;88.220482
Ноябрьск;63.175701;75.41391
Обнинск;55.100109;36.6241
Одинцово;55.671741;37.28109
Октябрьский;47.969643;43.640747
Омск;54.970901;73.393753
Орёл;52.968452;36.069492
Оренбург;51.768242;55.10371
Орехово-Зуево;55.807091;38.989471
Орск;51.21838;58.62038
Пенза;53.200932;45.010422
Первоуральск;56.92305;59.9422
Пермь;57.997169;56.235279
Петрозаводск;61.7822;34.36208
Петропавловск-Камчатский;53.061562;158.622482
Подольск;55.432041;37.55183
Прокопьевск;53.880951;86.727524
Псков;57.824371;28.33049
Пушкино;56.011589;37.861759
Пятигорск;44.04591;43.058739
Радужный;56.004391;40.33894
Раменское;55.565449;38.236851
Реутов;55.765011;37.873638
Ростов-на-Дону;47.233189;39.715
Рубцовск;51.52113;81.202713
Рыбинск;58.049999;38.833332
Рязань;54.62466;39.738571
Салават;53.359249;55.92992
Самара;53.20216;50.159618
Санкт-Петербург;59.939037;30.315784
Саранск;54.181381;45.17569
Саратов;51.533268;46.03455
Северодвинск;64.566879;39.846809
Северск;56.599998;84.849998
Серпухов;54.920609;37.416901
Смоленск;54.781101;32.048889
Сочи;43.611599;39.722488
Ставрополь;45.039131;41.98214
Старый Оскол;51.304901;37.856892
Стерлитамак;53.622341;55.957581
Сургут;61.25716;73.400993
Сызрань;53.173111;48.46928
Сыктывкар;61.681862;50.812771
Таганрог;47.221729;38.893318
Тамбов;52.7211;41.417351
Тверь;56.857929;35.923828
Тольятти;53.535561;49.409569
Томск;56.463989;84.962547
Троицк;55.49654;37.318432
Тула;54.196678;37.617828
Тюмень;57.154949;65.51564
Улан-Удэ;51.840839;107.608093
Ульяновск;54.32148;48.385651
Уссурийск;43.816299;131.989365
Уфа;54.7355;55.991982
Хабаровск;48.476719;135.09407
Ханты-Мансийск;61.00079;69.006241
Хасавюрт;43.246769;46.58939
Химки;55.88781;37.44418
Чебоксары;56.137451;47.24403
Челябинск;55.159889;61.40258
Череповец;59.129822;38.001308
Черкесск;44.23085;42.06477
Чита;52.045429;113.498627
Шахты;47.708519;40.215309
Щёлково;55.917469;38.01144
Электросталь;55.786968;38.435619
Элиста;46.312962;44.25346
Энгельс;51.479679;46.110069
Южно-Сахалинск;46.961262;142.731979
Якутск;62.039261;129.746399
Ярославль;57.6301;39.865631
Абинск;44.864922;38.17186
Адлер;43.44722;39.914539
Азов;47.099049;39.438629
Аксай;47.266918;39.869141
Алапаевск;57.854118;61.70573
Алатырь;54.845501;46.567631
Алдан;58.602169;125.368713
Алейск;52.473621;82.757919
Александров;56.396759;38.72419
Александровск;59.159248;57.604019
Александровское;44.716492;43.016281
Александровск-Сахалинский;50.90081;142.152023
Алексеевка;50.634239;38.714161
Алексин;54.509521;37.061691
Алупка;44.419724;34.043056
Алушта;44.676384;34.410049
Амурск;50.22578;136.907104
Анадырь;64.736656;177.477371
Анапа;44.89502;37.331039
Анжеро-Судженск;56.064411;86.023369
Анива;46.718601;142.525467
Анна;51.485352;40.43288
Апатиты;67.57962;33.39098
Апрелевка;55.5453;37.06192
Арзгир;45.368793;44.218266
Армянск;46.107224;33.693333
Арсеньев;44.161789;133.285507
Артемовский;57.338169;61.903481
Асбест;57.00568;61.469711
Аткарск;51.864201;44.990952
Аша;55.002319;57.224812
"Аэропорт ""Домодедово""";55.417953;37.907005
Бабаево;59.38533;35.950722
Багаевский;47.2668;40.407749
Байконур;45.628231;63.304562
Балабаново;55.17662;36.64925
Балахна;56.480728;43.54039
Балашов;51.537449;43.15287
Баргузин;53.62495;109.627777
Бахчисарай;44.752777;33.860832
Белая Калитва;48.19244;40.773819
Белово;54.37674;86.349159
Белогорск;50.919991;128.469193
Белорецк;53.967201;58.416611
Белореченск;44.75425;39.885448
Березовка;57.602451;57.302979
Беслан;43.192921;44.531033
Биробиджан;48.800671;132.899139
Бирск;55.417511;55.5452
Благодарный;45.10006;43.42812
Бобров;51.09211;40.035061
Богданович;56.78656;62.041012
Богородск;56.099628;43.507339
Богучар;49.93737;40.559261
Бодайбо;57.84745;114.17617
Бологое;57.876301;34.073887
Большой Камень;43.110992;132.347
Бор;56.360352;44.059029
Борисоглебск;51.36594;42.08054
Боровичи;58.395012;33.901199
Боровск;55.202061;36.479431
Бронницы;55.419441;38.27673
Буденновск;44.780739;44.148499
Бузулук;52.78524;52.25264
Буйнакск;42.820629;47.117901
Бутурлиновка;50.830631;40.586498
Валуйки;50.213268;38.10199
Ванино;49.09436;140.261108
Великие Луки;56.346821;30.539
Великий Устюг;60.763229;46.307789
Вельск;61.066971;42.10183
Верхний Уфалей;56.049999;60.233334
Верхняя Пышма;57.1199;60.601101
Верхняя Салда;58.045601;60.553299
Веселый;47.32991;39.302719
Вешенская;49.630821;41.726101
Взморье;54.697315;20.245184
Видное;55.556728;37.712471
Вилючинск;52.939831;158.409012
Вихоревка;56.110722;101.18026
Внуково;55.606899;37.310719
Волжск;55.870419;48.356049
Волоколамск;56.04567;35.943951
Волоконовка;50.481941;37.862499
Волосово;59.447491;29.468691
Волхов;59.925339;32.32962
Вольно-Надеждинское;43.376041;131.986115
Вольск;52.044861;47.376011
Воркута;67.485046;64.029739
Воробьевка;50.643921;40.945179
Воскресенск;55.317539;38.685928
Воскресенское;55.425728;38.057396
Воткинск;57.057541;53.99511
Всеволожск;60.031422;30.63961
Вурнары;55.488831;46.963989
Выборг;60.703701;28.771061
Выкса;55.319511;42.173
Вырица;59.402569;30.34053
Выселки;45.58057;39.657551
Вышний Волочек;57.591518;34.5564
Вязовая;54.906101;58.37431
Вязьма;55.2122;34.309429
Вятские Поляны;56.221481;51.072689
Гаврилов-ям;57.30212;39.8568
Гагарин;55.550911;35.014992
Гай;51.467739;58.454739
Галенки;44.072861;131.788712
Гатчина;59.559879;30.138559
Геленджик;44.577709;38.080212
Георгиевск;44.14735;43.46875
Глазов;58.135288;52.662441
Голицыно;55.609516;36.983971
Горно-Алтайск;51.958118;85.971291
Горнозаводск;58.37532;58.322899
Городец;56.65015;43.470402
Городище;48.800549;44.478378
Гремячинск;58.566589;57.841808
Грязовец;58.88229;40.247372
Губаха;58.864891;57.603008
Губкин;51.275436;37.560936
Гудермес;43.347652;46.093826
Гуково;47.986641;39.939968
Гулькевичи;45.35358;40.694469
Гусиноозерск;51.284081;106.526382
Гусь Хрустальный;55.61684;40.672661
Далматово;56.26442;62.932629
Дальнегорск;44.560822;135.570251
Дальнереченск;45.928711;133.738235
Дедовск;55.86174;37.130245
Демидово;55.397949;40.300636
Десногорск;54.154793;33.28651
Джанкой;45.708611;34.393333
Дзержинский;55.628078;37.839806
Дивногорск;55.95023;92.375107
Дивное;45.909531;43.348949
Дмитров;56.362499;37.541111
Добрянка;58.4603;56.408859
Донецк;48.337929;39.96183
Дубна;56.755192;37.139721
Дубовка;49.058788;44.817429
Дудинка;69.40834;86.181664
Евпатория;45.190449;33.366867
Егорлык;46.293217;41.785385
Егорлыкская;46.570709;40.66618
Егорьевск;55.380039;39.03569
Ейск;46.691879;38.285641
Елабуга;55.761799;52.06139
Елань;50.949039;43.723301
Елец;52.622028;38.50526
Елизово;53.182995;158.382339
Еманжелинск;54.752899;61.32476
Ерофей-Павлович;53.963181;121.954376
Ефремов;53.13905;38.113689
Железноводск;44.14278;43.01672
Железногорск-Илимский;56.57505;104.11747
Железнодорожный;55.747391;38.006859
Жигулевск;53.411221;49.534931
Жирновск;50.981674;44.772907
Жуковка;53.538971;33.736179
Забайкальск;49.655739;117.322144
Заволжье;56.642479;43.392841
Заполярный;69.429283;30.83742
Зарайск;54.760559;38.882904
Заречный;53.201141;45.192661
Заринск;53.70895;84.967278
Звенигород;55.731331;36.866138
Зеленогорск;56.099998;94.583336
Зеленоград;55.988857;37.181683
Зеленокумск;44.417599;43.869781
Зерноград;46.853531;40.310371
Зима;53.922371;102.048363
Зимовники;47.160622;42.474232
Ивантеевка;55.986912;37.96954
Изобильный;45.373009;41.710281
Иланский;56.239937;96.071991
Иловля;49.304409;43.983528
Инжавино;52.320869;42.4963
Инта;66.033142;60.165611
Ипатово;45.717491;42.914841
Искитим;54.640209;83.306343
Истра;55.774162;37.149395
Ишимбай;53.452728;56.03434
Кабанск;52.055775;106.63208
Кавалерово;44.268311;135.045761
Кагальницкая;46.881489;40.15295
Казанская;49.795689;41.13982
Казлук;62.108921;49.329414
Калач;50.42461;41.025509
Калач-на-дону;48.690392;43.523251
Калтан;53.52232;87.278084
Калязин;57.24469;37.83757
Каменоломни;47.66843;40.2145
Каменск-Шахтинский;48.319328;40.263828
Камень-Рыболов;44.745392;132.03688
Канаш;55.505409;47.499531
Кандалакша;67.158028;32.420479
Каневская;46.079369;38.969261
Канск;56.20451;95.731941
Кантемировка;49.694309;39.860481
Карабаш;55.455841;60.20385
Карагай;58.27116;54.938831
